Word                Frequency      URL_idx        
same                1              [2]            
savvy               1              [2]            
says                1              [2]            
scale               1              [2]            
scanning            1              [1]            
science             1              [2]            
se                  1              [2]            
search              1              [2]            
section             2              [1, 526]       
seen                1              [2]            
selection           1              [1]            
selling             2              [1]            
semi                1              [2]            
series              1              [2]            
serious             1              [1]            
server              3              [1, 230, 233]  
services            1              [2]            
set                 7              [1]            
sets                1              [2]            
several             1              [1]            
sex                 1              [1]            
sexual              1              [1]            
should              1              [2]            
show                1              [2]            
significant         1              [2]            
simple              1              [2]            
simplified          1              [2]            
site                2              [1, 409]       
six                 1              [2]            
snooping            1              [2]            
so                  2              [2, 1322]      
society             1              [1]            
socio               1              [2]            
software            4              [2, 299, 1421, 1446]
some                3              [1]            
somewhat            1              [2]            
source              5              [2, 524, 1418, 1432, 1438]
sources             2              [1]            
specific            5              [1, 312, 371, 450]
split—when          1              [2]            
srpski              1              [2]            
standard            3              [1]            
standards           3              [2, 722, 783]  
started             2              [2, 372]       
statisticians       1              [2]            
statistics          1              [2]            
status              1              [2]            
step                4              [2, 201, 619, 726]
steps               2              [2, 713]       
structural          1              [1]            
structure           7              [1, 145, 166, 513, 534, 538, 548]
structured          1              [1]            
structures          1              [1]            
sub                 1              [1]            
subject             1              [2]            
subsequently        1              [2]            
subset              1              [1]            
subspace            1              [2]            
such                8              [1, 610]       
sufficient          2              [1]            
suggests            1              [2]            
summary             1              [2]            
supplant            1              [2]            
supported           1              [2]            
systems             1              [2]            
t                   4              [2, 2158, 2161, 2184]
target              3              [2, 499, 1169] 
task                2              [2, 840]       
tasks               1              [2]            
teams               1              [2]            
techniques          7              [1, 622, 740]  
technology          4              [1, 261, 276, 329]
template            1              [2]            
tend                1              [2]            
term                5              [2, 91, 328, 877, 1616]
terminology         1              [1]            
terms               3              [2, 321, 334]  
test                1              [2]            
than                1              [2]            
that                9              [1, 662]       
the                 120            [1, 151, 191, 197, 223, 306, 316, 352, 364, 367, 375, 385, 414, 423, 435, 460, 463, 468, 484, 508, 551, 559, 577, 652, 660, 663, 669, 687, 697, 703, 722, 726, 918]
their               2              [1, 408]       
them                3              [1]            
theme               1              [2]            
then                6              [1, 735]       
there               5              [1]            
these               2              [1]            
they                2              [1]            
this                14             [1, 275, 328, 349, 382, 993]
threat              1              [2]            
threats             1              [1]            
three               2              [1, 134]       
through             2              [2, 1255]      
thus                1              [2]            
time                1              [2]            
times               1              [2]            
title               1              [2]            
to                  64             [1, 240, 255, 277, 402, 500, 583, 604, 616, 623, 646, 680, 685, 720, 741, 970]
today               1              [2]            
together            1              [2]            
tools               4              [1, 933]       
topics              2              [2, 1469]      
totally             1              [1]            
trade               2              [1, 403]       
traded              1              [1]            
trading             1              [1]            
train               1              [2]            
training            1              [2]            
transform           1              [1]            
transformative      1              [2]            
trend               2              [1, 411]       
turn                2              [2, 1086]      
two                 1              [1]            
types               3              [1, 127, 136]  
unclear             1              [1]            
uncover             1              [2]            
uncovers            1              [2]            
under               4              [2, 1404, 1429, 1454]
unfairly            1              [2]            
unfortunately       1              [2]            
unintentionally     1              [2]            
unstructured        1              [1]            
unusual             1              [2]            
upholds             1              [2]            
us                  2              [1]            
usage               10             [1, 139, 169, 185, 188, 214, 226, 244, 302, 319]
use                 6              [1, 490, 736]  
used                10             [1, 344]       
useful              3              [1, 743, 746]  
user                1              [1]            
users               3              [1, 584]       
uses                5              [1, 536]       
using               4              [1]            
usually             1              [2]            
v                   4              [2, 2157, 2160, 2183]
valid               1              [2]            
validation          2              [2, 547]       
van                 1              [1]            
variations          1              [2]            
various             1              [2]            
venues              1              [2]            
verify              1              [2]            
version             3              [1]            
view                3              [1, 174, 641]  
viewed              1              [2]            
violates            1              [1]            
volumes             1              [1]            
warehouse           2              [2, 2176]      
was                 3              [2, 1613, 1619]
way                 3              [2, 965, 1167] 
ways                3              [1]            
we                  1              [1]            
web                 4              [1, 76, 301, 547]
website             1              [1]            
well                2              [1]            
were                1              [2]            
when                6              [1, 337]       
wherever            1              [2]            
which               10             [1, 264, 433]  
while               1              [2]            
who                 3              [2, 1084, 1192]
whom                1              [2]            
wider               1              [2]            
will                2              [1]            
with                4              [1]            
within              1              [2]            
without             2              [1]            
work                2              [1]            
works               2              [1]            
workshop            1              [2]            
write               1              [1]            
Čeština             1              [2]            
Ελληνικά            1              [2]            
Български           1              [2]            
Македонски          1              [2]            
Монгол              1              [2]            
Русский             2              [1]            
Српски              1              [2]            
Тоҷикӣ              1              [2]            
Українська          1              [2]            
српскохрватски      1              [2]            
Հայերեն             1              [2]            
ייִדיש              1              [2]            
עברית               1              [2]            
العربية             2              [1]            
فارسی               2              [1]            
मराठी               1              [2]            
हिन्दी              2              [1]            
অসমীয়া             1              [2]            
বাংলা               1              [2]            
தமிழ்               1              [2]            
ಕನ್ನಡ               1              [2]            
മലയാളം              1              [2]            
ไทย                 2              [1]            
မြန်မာဘာသာ          1              [2]            
–                   2              [1, 770]       
—are                1              [2]            
—or                 1              [2]            
—the                1              [2]            
“                   1              [2]            
“UK                 1              [2]            
中文                  1              [2]            
吴语                  1              [2]            
日本語                 2              [1]            
粵語                  1              [2]            
한국어                 2              [1]            
